header	source	subtype	strain	num_repeats	segment
blasthit|H2N3|A/black_duck/New_Jersey/1580/1978|1978-02-04	blasthit	H2N3	A/black_duck/New_Jersey/1580/1978	3	seg-8
blasthit|H7N7|A/mallard_duck/Netherlands/18/2015|2015-06-27	blasthit	H7N7	A/mallard_duck/Netherlands/18/2015	3	seg-8
blasthit|H1N1|A/mallard_duck/Netherlands/26/2014|2014-09-15	blasthit	H1N1	A/mallard_duck/Netherlands/26/2014	2	seg-1
blasthit|H7N7|A/mallard_duck/Netherlands/13/2013|2013-12-10	blasthit	H7N7	A/mallard_duck/Netherlands/13/2013	2	seg-1
blasthit|H3N8|A/Mallard/Netherlands/8/2013|2013-10-08	blasthit	H3N8	A/Mallard/Netherlands/8/2013	2	seg-1
blasthit|H6N1|A/mallard_duck/Georgia/7/2015|2015-10-10	blasthit	H6N1	A/mallard_duck/Georgia/7/2015	2	seg-1
blasthit|H5N1|A/duck/Minnesota/1525/1981|1981-10-17	blasthit	H5N1	A/duck/Minnesota/1525/1981	2	seg-1
blasthit|H1N1|A/mallard/Wisconsin/683/1976|1976--	blasthit	H1N1	A/mallard/Wisconsin/683/1976	2	seg-1
blasthit|H5N1|A/mallard_duck/Netherlands/41/2015|2015-09-15	blasthit	H5N1	A/mallard_duck/Netherlands/41/2015	2	seg-1
blasthit|H1N1|A/California/VRDL113/2009|2009-11-24	blasthit	H1N1	A/California/VRDL113/2009	2	seg-1
blasthit|H2N3|A/mallard/Alberta/77/1977|1977-08-08	blasthit	H2N3	A/mallard/Alberta/77/1977	2	seg-1
blasthit|H10N7|A/mallard_duck/Netherlands/33/2014|2014-12-16	blasthit	H10N7	A/mallard_duck/Netherlands/33/2014	2	seg-1
blasthit|H3N8|A/mallard/Wisconsin/471/1976|1976--	blasthit	H3N8	A/mallard/Wisconsin/471/1976	2	seg-1
blasthit|H3N5|A/mallard/Alberta/663/1979|1979-08-13	blasthit	H3N5	A/mallard/Alberta/663/1979	2	seg-1
blasthit|H2N9|A/mallard_duck/Netherlands/14/2014|2014-08-27	blasthit	H2N9	A/mallard_duck/Netherlands/14/2014	2	seg-1
blasthit|H4N6|A/mallard_duck/ALB/161/1977|1977-09-03	blasthit	H4N6	A/mallard_duck/ALB/161/1977	2	seg-1
blasthit|H6N8|A/mallard_duck/Netherlands/40/2006|2006-09-16	blasthit	H6N8	A/mallard_duck/Netherlands/40/2006	2	seg-1
blasthit|H6N1|A/mallard/Wisconsin/557/1976|1976--	blasthit	H6N1	A/mallard/Wisconsin/557/1976	2	seg-1
blasthit|H6N9|A/duck/Minnesota/1/1975|1975--	blasthit	H6N9	A/duck/Minnesota/1/1975	2	seg-1
blasthit|H3N3|A/mallard_duck/ALB/712/1978|1978-08-15	blasthit	H3N3	A/mallard_duck/ALB/712/1978	2	seg-1
blasthit|H5N1|A/mallard/Italy/3401/2005|2005-09-19	blasthit	H5N1	A/mallard/Italy/3401/2005	2	seg-1
